"filename", "language", "JavaScript", "JSON", "Ini", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/Yuriy/projects/hotel/client/src/redux/actions/roomActions.js", "JavaScript", 388, 0, 0, 0, 0, 0, 0, 31, 37, 456
"/Users/Yuriy/projects/hotel/client/src/redux/actions/serviceActions.js", "JavaScript", 395, 0, 0, 0, 0, 0, 0, 21, 34, 450
"/Users/Yuriy/projects/hotel/client/src/redux/constants.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"/Users/Yuriy/projects/hotel/client/src/redux/history.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/_helpers/createReducer.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 2, 4, 36
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/_helpers/emptyDataGenerators.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 1, 8, 141
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/adminReducer.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 3, 81
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/admin_conversations/adminConversationsReducer.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 1, 4, 208
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/admin_conversations/flowTypes.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 5, 9, 223
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/appGeneralReducer.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/client/clientReducer.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 1, 2, 49
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/client/flowTypes.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 4, 4, 47
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/combinedReducers.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/contact_posts/contactPostReducer.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 1, 2, 88
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/contact_posts/flowTypes.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 5, 2, 141
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/conversations/conversationReducer.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 1, 5, 143
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/conversations/flowTypes.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 6, 5, 148
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/dining_entertainment/diningEntertainmentReducer.js", "JavaScript", 223, 0, 0, 0, 0, 0, 0, 1, 2, 226
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/dining_entertainment/flowTypes.js", "JavaScript", 241, 0, 0, 0, 0, 0, 0, 5, 6, 252
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/news_posts/flowTypes.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 6, 6, 168
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/news_posts/newsPostReducer.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 1, 2, 142
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/rooms/flowTypes.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 6, 4, 236
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/rooms/roomReducer.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 1, 3, 157
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/service/flowTypes.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 5, 2, 175
"/Users/Yuriy/projects/hotel/client/src/redux/reducers/service/serviceReducer.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 1, 5, 178
"/Users/Yuriy/projects/hotel/client/src/redux/store.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/Yuriy/projects/hotel/client/src/routes/appRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/Yuriy/projects/hotel/client/src/serviceWorker.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 31, 13, 138
"/Users/Yuriy/projects/hotel/client/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/Yuriy/projects/hotel/client/src/socket_io/clientSocket.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"/Users/Yuriy/projects/hotel/package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/Yuriy/projects/hotel/public/assets/images/flags/ru_flag.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/Yuriy/projects/hotel/public/assets/images/flags/ua_flag.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/Yuriy/projects/hotel/public/assets/images/flags/uk_flag.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/Yuriy/projects/hotel/src/config/appConfig.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/Yuriy/projects/hotel/src/config/development/devConfig.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/Yuriy/projects/hotel/src/controllers/authController.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 11, 1, 116
"/Users/Yuriy/projects/hotel/src/controllers/contactPostsController.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 4, 10, 162
"/Users/Yuriy/projects/hotel/src/controllers/conversationsController.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 14, 5, 160
"/Users/Yuriy/projects/hotel/src/controllers/diningEntertainmentController.js", "JavaScript", 471, 0, 0, 0, 0, 0, 0, 13, 22, 506
"/Users/Yuriy/projects/hotel/src/controllers/helpers/apiHelpers.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/Yuriy/projects/hotel/src/controllers/helpers/authHelper.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 1, 1, 49
"/Users/Yuriy/projects/hotel/src/controllers/helpers/defaultMessageEmitters.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 6, 86
"/Users/Yuriy/projects/hotel/src/controllers/helpers/validationHelpers.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 27, 12, 183
"/Users/Yuriy/projects/hotel/src/controllers/mailerController.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/Yuriy/projects/hotel/src/controllers/messagesController.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 230, 6, 344
"/Users/Yuriy/projects/hotel/src/controllers/newsPostsController.js", "JavaScript", 292, 0, 0, 0, 0, 0, 0, 4, 15, 311
"/Users/Yuriy/projects/hotel/src/controllers/redisController.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 112, 25, 316
"/Users/Yuriy/projects/hotel/src/controllers/roomsController.js", "JavaScript", 350, 0, 0, 0, 0, 0, 0, 9, 12, 371
"/Users/Yuriy/projects/hotel/src/controllers/servicesController.js", "JavaScript", 311, 0, 0, 0, 0, 0, 0, 8, 16, 335
"/Users/Yuriy/projects/hotel/src/controllers/socketIOController.js", "JavaScript", 233, 0, 0, 0, 0, 0, 0, 33, 16, 282
"/Users/Yuriy/projects/hotel/src/helpers/data_generation/generateData.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 1, 10, 119
"/Users/Yuriy/projects/hotel/src/helpers/data_generation/generateMockContactPosts.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 4, 2, 30
"/Users/Yuriy/projects/hotel/src/helpers/data_generation/generateMockDiningEntOptions.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 4, 4, 33
"/Users/Yuriy/projects/hotel/src/helpers/data_generation/generateMockNewsPosts.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 2, 27
"/Users/Yuriy/projects/hotel/src/models/ContactPost.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 3, 56
"/Users/Yuriy/projects/hotel/src/models/Conversation.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 2, 61
"/Users/Yuriy/projects/hotel/src/models/DiningEntertainment.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 2, 68
"/Users/Yuriy/projects/hotel/src/models/DiningImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Yuriy/projects/hotel/src/models/HotelService.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/Users/Yuriy/projects/hotel/src/models/MenuImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Yuriy/projects/hotel/src/models/Message.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 1, 3, 44
"/Users/Yuriy/projects/hotel/src/models/NewsPost.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/Yuriy/projects/hotel/src/models/NewsPostImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Yuriy/projects/hotel/src/models/PostImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Yuriy/projects/hotel/src/models/Room.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 2, 78
"/Users/Yuriy/projects/hotel/src/models/RoomImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Yuriy/projects/hotel/src/models/ServiceImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Yuriy/projects/hotel/src/models/User.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/Users/Yuriy/projects/hotel/src/routes/authRoutes.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 8, 37
"/Users/Yuriy/projects/hotel/src/routes/combineRoutes.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 6, 1, 39
"/Users/Yuriy/projects/hotel/src/routes/contactPostRoutes.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 12, 5, 32
"/Users/Yuriy/projects/hotel/src/routes/conversationRoutes.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 13, 4, 32
"/Users/Yuriy/projects/hotel/src/routes/diningImageRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 6, 2, 18
"/Users/Yuriy/projects/hotel/src/routes/diningRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 15, 8, 42
"/Users/Yuriy/projects/hotel/src/routes/helpers/routeHelpers.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/Yuriy/projects/hotel/src/routes/mailRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 2, 11
"/Users/Yuriy/projects/hotel/src/routes/menuImageRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 6, 3, 19
