Date : 2021-08-23 17:03:12
Directory : /Users/Yuriy/projects/hotel
Total : 465 files,  93791 codes, 11753 comments, 15340 blanks, all 120884 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/CardInfo.js                                                     | JavaScript |         24 |          1 |          2 |         27 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/ContactPostCards.js                                             | JavaScript |        106 |          6 |          4 |        116 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/ContactPostIndexContainer.js                                    | JavaScript |        190 |         15 |          7 |        212 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/ContactPostReplyMarkup.js                                       | JavaScript |         13 |          1 |          2 |         16 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/ContactPostReplyModal.js                                        | JavaScript |        196 |         18 |          9 |        223 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/ContactPostView.js                                              | JavaScript |        123 |         10 |          8 |        141 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/css/cardInfo.module.css                                         | CSS        |         34 |          0 |          3 |         37 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/css/contactPostCards.module.css                                 | CSS        |        113 |          6 |          7 |        126 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/css/contactPostReplyMarkup.module.css                           | CSS        |         16 |          0 |          0 |         16 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/css/contactPostReplyModal.module.css                            | CSS        |         70 |          3 |          4 |         77 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/css/contactPostViewStyles.module.css                            | CSS        |         91 |          4 |          3 |         98 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/contact/css/contactPostsIndexContainer.module.css                       | CSS        |         84 |          5 |          5 |         94 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/ConnectedClientsModal.js                                  | JavaScript |         99 |          3 |          6 |        108 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/ConversationCard.js                                       | JavaScript |        106 |          4 |          8 |        118 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/ConversationComponent.js                                  | JavaScript |         44 |          4 |          6 |         54 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/ConversationControls.js                                   | JavaScript |        144 |          6 |          4 |        154 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/ConversationIndexContainer.js                             | JavaScript |        261 |         21 |         13 |        295 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/ConversationNameInput.js                                  | JavaScript |         70 |          4 |          5 |         79 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/Message.js                                                | JavaScript |         18 |          4 |          3 |         25 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/MessageAllModal.js                                        | JavaScript |         58 |          3 |          5 |         66 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/MessageSplashScreen.js                                    | JavaScript |         26 |          1 |          1 |         28 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/MessagesComponent.js                                      | JavaScript |         39 |          0 |          2 |         41 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/MessagesView.js                                           | JavaScript |        118 |         10 |          5 |        133 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/conversationCard.module.css                           | CSS        |        140 |          1 |          4 |        145 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/conversationComponent.module.css                      | CSS        |         17 |          0 |          1 |         18 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/conversationControls.module.css                       | CSS        |        216 |          6 |         10 |        232 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/conversationIndexContainer.module.css                 | CSS        |         42 |          0 |          2 |         44 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/conversationNameInput.module.css                      | CSS        |         68 |          0 |          1 |         69 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/message.module.css                                    | CSS        |         24 |          0 |          2 |         26 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/messageAllModal.module.css                            | CSS        |         26 |          0 |          2 |         28 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/messagesSplashScreen.module.css                       | CSS        |          6 |          0 |          0 |          6 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/messagesView.module.css                               | CSS        |         38 |          0 |          1 |         39 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/css/onlineClientsModal.module.css                         | CSS        |         16 |          0 |          0 |         16 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/ConfiguredDefaultCard.js                | JavaScript |         79 |          3 |          5 |         87 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/DefaultMessageCard.js                   | JavaScript |         79 |         16 |          6 |        101 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/DefaultMessageMenu.js                   | JavaScript |        105 |          5 |          6 |        116 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/DefaultMessagesModal.js                 | JavaScript |        230 |         12 |         15 |        257 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/css/configuredDefaultCard.module.css    | CSS        |        106 |          0 |          4 |        110 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/css/defaultMessageCard.module.css       | CSS        |         68 |          0 |          6 |         74 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/css/defaultMessageMenu.module.css       | CSS        |         43 |          0 |          4 |         47 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/conversations/default_messaging/css/defaultMessagesModal.module.css     | CSS        |         60 |          0 |          2 |         62 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dash/AdminDashComponent.js                                              | JavaScript |        152 |          7 |         10 |        169 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dash/style/styles.js                                                    | JavaScript |         41 |          1 |          4 |         46 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/DiningEntertainmentCards.js                        | JavaScript |         60 |          5 |          3 |         68 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/DiningEntertainmentDisplay.js                      | JavaScript |        105 |          6 |          7 |        118 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/DiningEntertainmentForm.js                         | JavaScript |        377 |         28 |         28 |        433 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/DiningEntertainmentImgThumb.js                     | JavaScript |         18 |          5 |          2 |         25 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/DiningEntertainmentIndexContainer.js               | JavaScript |        157 |          7 |         18 |        182 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/EditDiningEntertainmentDisplay.js                  | JavaScript |         54 |          5 |          7 |         66 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/css/diningEntertainmentCards.module.css            | CSS        |         11 |          0 |          0 |         11 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/css/diningEntertainmentDisplay.module.css          | CSS        |        101 |          2 |          7 |        110 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/css/diningEntertainmentForm.module.css             | CSS        |         49 |          2 |          5 |         56 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/css/diningEntertainmentImgThumb.module.css         | CSS        |         18 |          0 |          1 |         19 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/css/diningEntertainmentIndexContainer.module.css   | CSS        |         31 |          3 |          2 |         36 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/css/editDiningEntertainmentDisplay.module.css      | CSS        |         20 |          0 |          3 |         23 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/form_components/DiningEntertainmentTypeDropdown.js | JavaScript |         25 |          3 |          4 |         32 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/dining_entertainment/helpers/checkFormErrors.js                         | JavaScript |         24 |          1 |          2 |         27 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/footer/FooterMenu.js                                                    | JavaScript |         31 |          0 |          8 |         39 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/graphs/BookingsGraph.js                                                 | JavaScript |         40 |          2 |          5 |         47 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/graphs/VisitorGraph.js                                                  | JavaScript |         71 |          2 |          4 |         77 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/graphs/helper_components/GraphHelpers.js                                | JavaScript |         11 |          1 |          1 |         13 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/graphs/style/styles.js                                                  | JavaScript |         15 |          0 |          0 |         15 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/nav/AdminNav.js                                                         | JavaScript |        131 |          3 |         12 |        146 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/PostForm.js                                                       | JavaScript |         60 |          2 |          9 |         71 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/PostsControls.js                                                  | JavaScript |         46 |          3 |          7 |         56 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/PostsIndexContainer.js                                            | JavaScript |        277 |         24 |         22 |        323 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/cards/NewsPostCard.js                                             | JavaScript |         56 |          5 |          1 |         62 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/cards/NewsPostPreviewCard.js                                      | JavaScript |         92 |          5 |          6 |        103 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/cards/css/newsPostCard.module.css                                 | CSS        |         87 |          0 |          8 |         95 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/cards/css/newsPostPreviewCard.module.css                          | CSS        |        118 |          0 |          8 |        126 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/controls/NewsPostFormControls.js                                  | JavaScript |         49 |          3 |          5 |         57 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/controls/PostPreviewControls.js                                   | JavaScript |         44 |          4 |          3 |         51 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/controls/PostSortControls.js                                      | JavaScript |         37 |          2 |          3 |         42 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/controls/css/newsPostFormControls.module.css                      | CSS        |         16 |          0 |          2 |         18 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/controls/css/postPreviewControls.module.css                       | CSS        |         23 |          0 |          3 |         26 |
